(b'S',time, lat(deg),lat(min),lat(sec),lat(N/W),lon(deg),lon(min),lon(sec),lon(E/W),v_horizontal,course,hdop,vdop,type,alt(ABL),fix_time_since_start,time_since_fix)
b'S', 0, 32, 56, 21.77032470703125, 78, 106, 54, 42.71690368652344, 87, 0.02, 0.0, 1.02, 1.44, b'ROV', 86.016357421875, 3104.0, 83.0
b'S', 1749743, 32, 56, 21.595687866210938, 78, 106, 54, 43.69010925292969, 87, 34.5, 256.07, 2.66, 2.72, b'GLL', 88.169189453125, 1749438.0, 334.0
b'S', 1749814, 32, 56, 21.595687866210938, 78, 106, 54, 43.69010925292969, 87, 34.5, 256.07, 2.66, 2.72, b'VNC', 88.169189453125, 1749438.0, 413.0
b'S', 1749894, 32, 56, 21.595687866210938, 78, 106, 54, 43.69010925292969, 87, 34.5, 256.07, 99.99, 2.72, b'GGA', 88.169189453125, 1749438.0, 485.0
b'S', 1750330, 32, 56, 21.595687866210938, 78, 106, 54, 43.69010925292969, 87, 34.5, 256.07, 99.99, 2.72, b'GGA', 88.169189453125, 1749438.0, 929.0
b'S', 1751824, 32, 56, 16.867904663085938, 78, 106, 54, 40.274505615234375, 87, 75.15, 151.67, 1.25, 2.72, b'RMC', 88.169189453125, 1751818.0, 34.0
b'S', 1751893, 32, 56, 16.867904663085938, 78, 106, 54, 40.274505615234375, 87, 75.15, 151.67, 1.25, 2.72, b'VTG', 88.169189453125, 1751818.0, 112.0
b'S', 1752403, 32, 56, 16.867904663085938, 78, 106, 54, 40.274505615234375, 87, 75.15, 151.67, 1.02, 1.0, b'GLL', 88.169189453125, 1752402.0, 38.0
b'S', 1755739, 32, 56, 9.410476684570312, 78, 106, 54, 35.277099609375, 87, 72.68, 146.36, 3.97, 23.47, b'GLL', 88.169189453125, 1755382.0, 386.0
b'S', 1755809, 32, 56, 9.410476684570312, 78, 106, 54, 35.277099609375, 87, 72.68, 146.36, 3.97, 23.47, b'VNC', 88.169189453125, 1755382.0, 464.0
b'S', 1755890, 32, 56, 9.410476684570312, 78, 106, 54, 35.277099609375, 87, 72.68, 146.36, 99.99, 23.47, b'GGA', 88.169189453125, 1755382.0, 537.0
b'S', 1756324, 32, 56, 9.410476684570312, 78, 106, 54, 35.277099609375, 87, 72.68, 146.36, 99.99, 23.47, b'GGA', 88.169189453125, 1755382.0, 980.0
b'S', 1757744, 32, 56, 5.6623077392578125, 78, 106, 54, 32.220611572265625, 87, 70.4, 143.81, 1.78, 10.94, b'GLL', 88.169189453125, 1757426.0, 346.0
b'S', 1757821, 32, 56, 5.6623077392578125, 78, 106, 54, 32.220611572265625, 87, 70.4, 143.81, 1.78, 10.94, b'VNC', 88.169189453125, 1757426.0, 424.0
b'S', 1757900, 32, 56, 5.6623077392578125, 78, 106, 54, 32.220611572265625, 87, 70.4, 143.81, 99.99, 10.94, b'GGA', 88.169189453125, 1757426.0, 503.0
b'S', 1758340, 32, 56, 5.6623077392578125, 78, 106, 54, 32.220611572265625, 87, 70.4, 143.81, 99.99, 10.94, b'GGA', 88.169189453125, 1757426.0, 943.0
b'S', 1758835, 32, 56, 5.6623077392578125, 78, 106, 54, 32.220611572265625, 87, 70.4, 143.81, 99.99, 10.94, b'GGA', 88.169189453125, 1757426.0, 1438.0
b'S', 1758913, 32, 56, 5.6623077392578125, 78, 106, 54, 32.220611572265625, 87, 70.4, 143.81, 99.99, 10.94, b'VNC', 88.169189453125, 1757426.0, 1516.0
b'S', 1758985, 32, 56, 5.6623077392578125, 78, 106, 54, 32.220611572265625, 87, 70.4, 143.81, 99.99, 10.94, b'GGA', 88.169189453125, 1757426.0, 1596.0
b'S', 1759467, 32, 56, 5.6623077392578125, 78, 106, 54, 32.220611572265625, 87, 70.4, 143.81, 99.99, 10.94, b'GGA', 88.169189453125, 1757426.0, 2069.0
b'S', 1763748, 32, 55, 55.80963134765625, 78, 106, 54, 22.054824829101562, 87, 68.11, 137.16, 1.8, 11.04, b'GLL', 88.169189453125, 1763445.0, 332.0
b'S', 1763817, 32, 55, 55.80963134765625, 78, 106, 54, 22.054824829101562, 87, 68.11, 137.16, 1.8, 11.04, b'VNC', 88.169189453125, 1763445.0, 409.0
b'S', 1763896, 32, 55, 55.80963134765625, 78, 106, 54, 22.054824829101562, 87, 68.11, 137.16, 99.99, 11.04, b'GGA', 88.169189453125, 1763445.0, 480.0
b'S', 1764339, 32, 55, 55.80963134765625, 78, 106, 54, 22.054824829101562, 87, 68.11, 137.16, 99.99, 11.04, b'GGA', 88.169189453125, 1763445.0, 931.0
b'S', 1765862, 32, 55, 51.96968078613281, 78, 106, 54, 16.891250610351562, 87, 69.8, 133.56, 1.49, 4.53, b'GLL', 88.169189453125, 1765504.0, 386.0
b'S', 1765939, 32, 55, 51.96968078613281, 78, 106, 54, 16.891250610351562, 87, 69.8, 133.56, 1.49, 4.53, b'VNC', 88.169189453125, 1765504.0, 464.0
b'S', 1766018, 32, 55, 51.96968078613281, 78, 106, 54, 16.891250610351562, 87, 69.8, 133.56, 99.99, 4.53, b'GGA', 88.169189453125, 1765504.0, 543.0
b'S', 1766460, 32, 55, 51.96968078613281, 78, 106, 54, 16.891250610351562, 87, 69.8, 133.56, 99.99, 4.53, b'GGA', 88.169189453125, 1765504.0, 985.0
b'S', 1771806, 32, 55, 40.14839172363281, 78, 106, 54, 3.987579345703125, 87, 67.9, 128.46, 1.48, 4.52, b'RMC', 88.169189453125, 1771802.0, 33.0
b'S', 1771884, 32, 55, 40.14839172363281, 78, 106, 54, 3.987579345703125, 87, 67.9, 128.46, 1.48, 4.52, b'VTG', 88.169189453125, 1771802.0, 110.0
b'S', 1772401, 32, 55, 40.14839172363281, 78, 106, 54, 3.987579345703125, 87, 67.9, 128.46, 1.48, 4.52, b'GLL', 88.169189453125, 1772400.0, 30.0
b'S', 1775764, 32, 55, 37.74604797363281, 78, 106, 54, 0.775909423828125, 87, 64.94, 129.33, 1.14, 3.55, b'GGA', 88.169189453125, 1774449.0, 1344.0
b'S', 1775833, 32, 55, 37.74604797363281, 78, 106, 54, 0.775909423828125, 87, 64.94, 129.33, 1.14, 3.55, b'VNC', 88.169189453125, 1774449.0, 1420.0
b'S', 1775912, 32, 55, 37.74604797363281, 78, 106, 54, 0.775909423828125, 87, 64.94, 129.33, 99.99, 3.55, b'GGA', 88.169189453125, 1774449.0, 1500.0
b'S', 1776351, 32, 55, 37.74604797363281, 78, 106, 54, 0.775909423828125, 87, 64.94, 129.33, 99.99, 3.55, b'GGA', 88.169189453125, 1774449.0, 1938.0
b'S', 1777773, 32, 55, 37.74604797363281, 78, 106, 54, 0.775909423828125, 87, 64.94, 129.33, 99.99, 3.55, b'GGA', 88.169189453125, 1774449.0, 3361.0
b'S', 1777851, 32, 55, 37.74604797363281, 78, 106, 54, 0.775909423828125, 87, 64.94, 129.33, 99.99, 3.55, b'VNC', 88.169189453125, 1774449.0, 3429.0
b'S', 1777930, 32, 55, 37.74604797363281, 78, 106, 54, 0.775909423828125, 87, 64.94, 129.33, 2.91, 3.55, b'GGA', 88.169189453125, 1774449.0, 3509.0
b'S', 1778366, 32, 55, 37.74604797363281, 78, 106, 54, 0.775909423828125, 87, 64.94, 129.33, 2.91, 3.55, b'GGA', 88.169189453125, 1774449.0, 3946.0
b'S', 1780745, 32, 55, 37.74604797363281, 78, 106, 54, 0.775909423828125, 87, 64.94, 129.33, 1.37, 3.55, b'GGA', 88.169189453125, 1774449.0, 6332.0
b'S', 1780823, 32, 55, 37.74604797363281, 78, 106, 54, 0.775909423828125, 87, 64.94, 129.33, 1.37, 3.55, b'VNC', 88.169189453125, 1774449.0, 6410.0
b'S', 1780903, 32, 55, 37.74604797363281, 78, 106, 54, 0.775909423828125, 87, 64.94, 129.33, 1.71, 3.55, b'GGA', 88.169189453125, 1774449.0, 6482.0
b'S', 1781339, 32, 55, 37.74604797363281, 78, 106, 54, 0.775909423828125, 87, 64.94, 129.33, 1.71, 3.55, b'GGA', 88.169189453125, 1774449.0, 6927.0
b'S', 1784788, 32, 55, 39.63409423828125, 78, 106, 53, 47.91961669921875, 87, 2.76, 231.8, 0.9, 1.45, b'RMC', 88.169189453125, 1784782.0, 35.0
b'S', 1784865, 32, 55, 39.63409423828125, 78, 106, 53, 47.91961669921875, 87, 2.76, 231.8, 0.9, 1.45, b'VTG', 88.169189453125, 1784782.0, 111.0
b'S', 1785381, 32, 55, 39.63409423828125, 78, 106, 53, 47.91961669921875, 87, 2.76, 231.8, 1.43, 2.25, b'GLL', 88.169189453125, 1785379.0, 30.0
b'S', 1786839, 32, 55, 39.7686767578125, 78, 106, 53, 48.63670349121094, 87, 4.64, 256.2, 0.87, 1.45, b'RMC', 88.169189453125, 1786834.0, 33.0
b'S', 1786917, 32, 55, 39.7686767578125, 78, 106, 53, 48.63670349121094, 87, 4.64, 256.2, 0.87, 1.45, b'VTG', 88.169189453125, 1786834.0, 112.0
b'S', 1787421, 32, 55, 39.7686767578125, 78, 106, 53, 48.63670349121094, 87, 4.64, 256.2, 0.8, 1.37, b'GLL', 88.169189453125, 1787420.0, 38.0
b'S', 1789837, 32, 55, 39.59220886230469, 78, 106, 53, 49.20295715332031, 87, 5.13, 241.4, 0.82, 1.4, b'RMC', 88.169189453125, 1789832.0, 32.0
b'S', 1789912, 32, 55, 39.59220886230469, 78, 106, 53, 49.20295715332031, 87, 5.13, 241.4, 0.82, 1.4, b'VTG', 88.169189453125, 1789832.0, 110.0
b'S', 1790426, 32, 55, 39.59220886230469, 78, 106, 53, 49.20295715332031, 87, 5.13, 241.4, 0.8, 1.37, b'GLL', 88.169189453125, 1790425.0, 30.0
b'S', 1790833, 32, 55, 39.510040283203125, 78, 106, 53, 49.40826416015625, 87, 5.57, 235.97, 0.8, 1.37, b'RMC', 88.169189453125, 1790828.0, 33.0
b'S', 1790909, 32, 55, 39.510040283203125, 78, 106, 53, 49.40826416015625, 87, 5.57, 235.97, 0.8, 1.37, b'VTG', 88.169189453125, 1790828.0, 110.0
b'S', 1791415, 32, 55, 39.510040283203125, 78, 106, 53, 49.40826416015625, 87, 5.57, 235.97, 0.8, 1.37, b'GLL', 88.169189453125, 1791413.0, 39.0
b'S', 1791821, 32, 55, 39.417572021484375, 78, 106, 53, 49.589996337890625, 87, 5.51, 234.09, 0.8, 1.37, b'RMC', 88.169189453125, 1791784.0, 73.0
b'S', 1791898, 32, 55, 39.417572021484375, 78, 106, 53, 49.589996337890625, 87, 5.51, 234.09, 0.8, 1.37, b'VTG', 88.169189453125, 1791784.0, 143.0
b'S', 1792411, 32, 55, 39.417572021484375, 78, 106, 53, 49.589996337890625, 87, 5.51, 234.09, 0.8, 1.37, b'GLL', 88.169189453125, 1792410.0, 30.0
b'S', 1794795, 32, 55, 39.13970947265625, 78, 106, 53, 50.119171142578125, 87, 5.2, 237.03, 0.8, 1.37, b'RMC', 88.169189453125, 1794790.0, 32.0
b'S', 1794870, 32, 55, 39.13970947265625, 78, 106, 53, 50.119171142578125, 87, 5.2, 237.03, 0.8, 1.37, b'VTG', 88.169189453125, 1794790.0, 109.0
b'S', 1795382, 32, 55, 39.13970947265625, 78, 106, 53, 50.119171142578125, 87, 5.2, 237.03, 0.8, 1.37, b'GLL', 88.169189453125, 1795381.0, 29.0
b'S', 1796802, 32, 55, 38.95866394042969, 78, 106, 53, 50.43365478515625, 87, 4.85, 230.66, 0.82, 1.4, b'RMC', 88.169189453125, 1796797.0, 32.0
b'S', 1796877, 32, 55, 38.95866394042969, 78, 106, 53, 50.43365478515625, 87, 4.85, 230.66, 0.82, 1.4, b'VTG', 88.169189453125, 1796797.0, 109.0
b'S', 1797388, 32, 55, 38.95866394042969, 78, 106, 53, 50.43365478515625, 87, 4.85, 230.66, 0.8, 1.37, b'GLL', 88.169189453125, 1797387.0, 29.0
b'S', 1808828, 32, 55, 37.89848327636719, 78, 106, 53, 51.23634338378906, 87, 1.34, 255.21, 0.8, 1.37, b'RMC', 88.169189453125, 1808823.0, 42.0
b'S', 1808904, 32, 55, 37.89848327636719, 78, 106, 53, 51.23634338378906, 87, 1.34, 255.21, 0.8, 1.37, b'VTG', 88.169189453125, 1808823.0, 109.0
b'S', 1809448, 32, 55, 37.89848327636719, 78, 106, 53, 51.23634338378906, 87, 1.34, 255.21, 0.82, 1.39, b'GLL', 88.169189453125, 1809447.0, 30.0
